test,ms,rc,cycles,instrs,i_cache_hit_pct,d_cache_hit_pct
rv32ui-p-add,3540,0,596,504,94.38,0.00
rv32ui-p-addi,2735,0,346,281,93.05,0.00
rv32ui-p-and,2813,0,614,524,94.77,0.00
rv32ui-p-andi,2751,0,294,237,93.41,0.00
rv32ui-p-auipc,2752,0,140,97,89.47,0.00
rv32ui-p-beq,2659,0,415,330,94.34,0.00
rv32ui-p-bge,2645,0,446,348,94.22,0.00
rv32ui-p-bgeu,2734,0,473,373,94.33,0.00
rv32ui-p-blt,2785,0,415,330,94.34,0.00
rv32ui-p-bltu,2712,0,442,355,94.44,0.00
rv32ui-p-bne,2787,0,419,330,94.10,0.00
rv32ui-p-fence_i,2701,0,497,335,96.03,33.33
rv32ui-p-jal,2714,0,137,94,89.19,0.00
rv32ui-p-jalr,2638,0,211,154,92.27,0.00
rv32ui-p-lb,2684,0,361,295,93.61,95.83
rv32ui-p-lbu,2656,0,361,295,93.61,95.83
rv32ui-p-ld_st,2706,0,1304,1151,93.31,99.74
rv32ui-p-lh,2691,0,448,311,93.62,0.00
rv32ui-p-lhu,2685,0,457,320,93.79,0.00
rv32ui-p-lui,2715,0,145,104,89.92,0.00
rv32ui-p-lw,2687,0,395,325,93.59,95.83
rv32ui-p-ma_data,2690,0,611,473,92.63,0.00
rv32ui-p-or,2670,0,619,527,94.61,0.00
rv32ui-p-ori,2689,0,303,244,93.21,0.00
rv32ui-p-sb,2675,0,586,493,94.70,98.55
rv32ui-p-sh,2682,0,643,546,94.84,98.55
rv32ui-p-simple,2665,0,116,80,89.36,0.00
rv32ui-p-sll,2748,0,628,532,94.31,0.00
rv32ui-p-slli,2675,0,345,280,93.02,0.00
rv32ui-p-slt,2668,0,590,498,94.32,0.00
rv32ui-p-slti,2684,0,339,276,93.27,0.00
rv32ui-p-sltiu,2655,0,339,276,93.27,0.00
rv32ui-p-sltu,2708,0,590,498,94.32,0.00
rv32ui-p-sra,2694,0,649,551,94.32,0.00
rv32ui-p-srai,2740,0,360,295,93.35,0.00
rv32ui-p-srl,2689,0,643,545,94.26,0.00
rv32ui-p-srli,2658,0,354,289,93.23,0.00
rv32ui-p-st_ld,2787,0,615,522,92.92,98.98
rv32ui-p-sub,2694,0,586,496,94.49,0.00
rv32ui-p-sw,2660,0,652,553,94.73,98.53
rv32ui-p-xor,2732,0,616,526,94.78,0.00
rv32ui-p-xori,2709,0,305,246,93.26,0.00
