policy,test,rc,cycles,instrs,i_cache_hit_pct,d_cache_hit_pct,stall,cache_stall,hazard_stall,i_cold_miss,i_conflict_miss,i_capacity_miss,d_cold_miss,d_conflict_miss,d_capacity_miss,speedup_vs_nocache
wb_wa,rv32ui-p-add,0,866,504,94.38,0.00,0,360,0,27,3,0,0,0,0,6.785219
wb_wa,rv32ui-p-addi,0,535,281,93.05,0.00,0,252,0,18,3,0,0,0,0,6.213084
wb_wa,rv32ui-p-and,0,875,524,94.77,0.00,0,348,0,26,3,0,0,0,0,6.966857
wb_wa,rv32ui-p-andi,0,447,237,93.41,0.00,0,204,0,14,3,0,0,0,0,6.353468
wb_wa,rv32ui-p-auipc,0,248,97,89.47,0.00,0,144,0,9,3,0,0,0,0,5.064516
wb_wa,rv32ui-p-beq,0,604,330,94.34,0.00,0,252,0,18,3,0,0,0,0,6.759934
wb_wa,rv32ui-p-bge,0,653,348,94.22,0.00,0,276,0,20,3,0,0,0,0,6.707504
wb_wa,rv32ui-p-bgeu,0,689,373,94.33,0.00,0,288,0,21,3,0,0,0,0,6.756168
wb_wa,rv32ui-p-blt,0,604,330,94.34,0.00,0,252,0,18,3,0,0,0,0,6.759934
wb_wa,rv32ui-p-bltu,0,640,355,94.44,0.00,0,264,0,19,3,0,0,0,0,6.809375
wb_wa,rv32ui-p-bne,0,617,330,94.10,0.00,0,264,0,19,3,0,0,0,0,6.653160
wb_wa,rv32ui-p-fence_i,0,677,335,96.03,33.33,0,240,0,12,6,0,1,3,0,7.451994
wb_wa,rv32ui-p-jal,0,245,94,89.19,0.00,0,144,0,9,3,0,0,0,0,4.991837
wb_wa,rv32ui-p-jalr,0,337,154,92.27,0.00,0,168,0,11,3,0,0,0,0,5.913947
wb_wa,rv32ui-p-lb,0,550,295,93.61,95.83,3,252,3,17,3,0,1,0,0,6.705455
wb_wa,rv32ui-p-lbu,0,550,295,93.61,95.83,3,252,3,17,3,0,1,0,0,6.705455
wb_wa,rv32ui-p-ld_st,0,1916,1151,93.31,99.74,149,816,149,65,3,0,1,0,0,7.932150
wb_wa,rv32ui-p-lh,0,853,311,93.62,0.00,3,540,3,18,3,0,1,23,0,4.529894
wb_wa,rv32ui-p-lhu,0,862,320,93.79,0.00,3,540,3,18,3,0,1,23,0,4.597448
wb_wa,rv32ui-p-lui,0,253,104,89.92,0.00,0,144,0,9,3,0,0,0,0,5.181818
wb_wa,rv32ui-p-lw,0,602,325,93.59,95.83,3,276,3,19,3,0,1,0,0,6.674419
wb_wa,rv32ui-p-ma_data,0,1070,473,92.63,0.00,54,612,54,29,3,0,2,17,0,5.383178
wb_wa,rv32ui-p-or,0,889,527,94.61,0.00,0,360,0,27,3,0,0,0,0,6.894263
wb_wa,rv32ui-p-ori,0,465,244,93.21,0.00,0,216,0,15,3,0,0,0,0,6.273118
wb_wa,rv32ui-p-sb,0,838,493,94.70,98.55,0,336,0,25,3,0,1,0,0,7.756563
wb_wa,rv32ui-p-sh,0,913,546,94.84,98.55,0,360,0,27,3,0,1,0,0,7.757941
wb_wa,rv32ui-p-simple,0,206,80,89.36,0.00,0,120,0,7,3,0,0,0,0,5.029126
wb_wa,rv32ui-p-sll,0,916,532,94.31,0.00,0,384,0,29,3,0,0,0,0,6.751092
wb_wa,rv32ui-p-slli,0,534,280,93.02,0.00,0,252,0,18,3,0,0,0,0,6.204120
wb_wa,rv32ui-p-slt,0,860,498,94.32,0.00,0,360,0,27,3,0,0,0,0,6.755814
wb_wa,rv32ui-p-slti,0,519,276,93.27,0.00,0,240,0,17,3,0,0,0,0,6.298651
wb_wa,rv32ui-p-sltiu,0,519,276,93.27,0.00,0,240,0,17,3,0,0,0,0,6.298651
wb_wa,rv32ui-p-sltu,0,860,498,94.32,0.00,0,360,0,27,3,0,0,0,0,6.755814
wb_wa,rv32ui-p-sra,0,946,551,94.32,0.00,0,396,0,30,3,0,0,0,0,6.757928
wb_wa,rv32ui-p-srai,0,549,295,93.35,0.00,0,252,0,18,3,0,0,0,0,6.335155
wb_wa,rv32ui-p-srl,0,940,545,94.26,0.00,0,396,0,30,3,0,0,0,0,6.730851
wb_wa,rv32ui-p-srli,0,543,289,93.23,0.00,0,252,0,18,3,0,0,0,0,6.283610
wb_wa,rv32ui-p-st_ld,0,957,522,92.92,98.98,0,456,0,35,3,0,1,0,0,7.198537
wb_wa,rv32ui-p-sub,0,847,496,94.49,0.00,0,348,0,26,3,0,0,0,0,6.833530
wb_wa,rv32ui-p-sw,0,931,553,94.73,98.53,0,372,0,28,3,0,1,0,0,7.679914
wb_wa,rv32ui-p-xor,0,877,526,94.78,0.00,0,348,0,26,3,0,0,0,0,6.976055
wb_wa,rv32ui-p-xori,0,467,246,93.26,0.00,0,216,0,15,3,0,0,0,0,6.293362
wb_nowa,rv32ui-p-add,0,866,504,94.38,0.00,0,360,0,27,3,0,0,0,0,6.785219
wb_nowa,rv32ui-p-addi,0,535,281,93.05,0.00,0,252,0,18,3,0,0,0,0,6.213084
wb_nowa,rv32ui-p-and,0,875,524,94.77,0.00,0,348,0,26,3,0,0,0,0,6.966857
wb_nowa,rv32ui-p-andi,0,447,237,93.41,0.00,0,204,0,14,3,0,0,0,0,6.353468
wb_nowa,rv32ui-p-auipc,0,248,97,89.47,0.00,0,144,0,9,3,0,0,0,0,5.064516
wb_nowa,rv32ui-p-beq,0,604,330,94.34,0.00,0,252,0,18,3,0,0,0,0,6.759934
wb_nowa,rv32ui-p-bge,0,653,348,94.22,0.00,0,276,0,20,3,0,0,0,0,6.707504
wb_nowa,rv32ui-p-bgeu,0,689,373,94.33,0.00,0,288,0,21,3,0,0,0,0,6.756168
wb_nowa,rv32ui-p-blt,0,604,330,94.34,0.00,0,252,0,18,3,0,0,0,0,6.759934
wb_nowa,rv32ui-p-bltu,0,640,355,94.44,0.00,0,264,0,19,3,0,0,0,0,6.809375
wb_nowa,rv32ui-p-bne,0,617,330,94.10,0.00,0,264,0,19,3,0,0,0,0,6.653160
wb_nowa,rv32ui-p-fence_i,0,677,335,96.03,0.00,0,240,0,12,6,0,1,5,0,7.451994
wb_nowa,rv32ui-p-jal,0,245,94,89.19,0.00,0,144,0,9,3,0,0,0,0,4.991837
wb_nowa,rv32ui-p-jalr,0,337,154,92.27,0.00,0,168,0,11,3,0,0,0,0,5.913947
wb_nowa,rv32ui-p-lb,0,550,295,93.61,95.83,3,252,3,17,3,0,1,0,0,6.705455
