test,ms,rc,cycles,instrs,i_cache_hit_pct,d_cache_hit_pct,stall,cache_stall,hazard_stall,i_cold_miss,i_conflict_miss,i_capacity_miss,d_cold_miss,d_conflict_miss,d_capacity_miss
rv32ui-p-add,2959,0,5876,504,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-addi,2988,0,3324,281,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-and,3002,0,6096,524,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-andi,2962,0,2840,237,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-auipc,2963,0,1256,97,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-beq,2961,0,4083,330,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-bge,2963,0,4380,348,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-bgeu,2939,0,4655,373,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-blt,2913,0,4083,330,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-bltu,2917,0,4358,355,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-bne,2931,0,4105,330,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-fence_i,2946,0,5045,335,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-jal,3057,0,1223,94,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-jalr,2930,0,1993,154,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-lb,2903,0,3688,295,0.00,0.00,3,0,3,0,0,0,0,0,0
rv32ui-p-lbu,2968,0,3688,295,0.00,0.00,3,0,3,0,0,0,0,0,0
rv32ui-p-ld_st,3013,0,15198,1151,0.00,0.00,149,0,149,0,0,0,0,0,0
rv32ui-p-lh,2952,0,3864,311,0.00,0.00,3,0,3,0,0,0,0,0,0
rv32ui-p-lhu,2882,0,3963,320,0.00,0.00,3,0,3,0,0,0,0,0,0
rv32ui-p-lui,3210,0,1311,104,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-lw,3751,0,4018,325,0.00,0.00,3,0,3,0,0,0,0,0,0
rv32ui-p-ma_data,3397,0,5760,473,0.00,0.00,54,0,54,0,0,0,0,0,0
rv32ui-p-or,3369,0,6129,527,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-ori,3020,0,2917,244,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-sb,3297,0,6500,493,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-sh,3024,0,7083,546,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-simple,3336,0,1036,80,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-sll,3072,0,6184,532,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-slli,3190,0,3313,280,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-slt,3232,0,5810,498,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-slti,3311,0,3269,276,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-sltiu,3176,0,3269,276,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-sltu,3020,0,5810,498,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-sra,3036,0,6393,551,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-srai,3075,0,3478,295,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-srl,3009,0,6327,545,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-srli,2996,0,3412,289,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-st_ld,3386,0,6889,522,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-sub,3971,0,5788,496,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-sw,3239,0,7150,553,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-xor,3033,0,6118,526,0.00,0.00,0,0,0,0,0,0,0,0,0
rv32ui-p-xori,3121,0,2939,246,0.00,0.00,0,0,0,0,0,0,0,0,0
