test,ms,rc,cycles,instrs,i_cache_hit_pct,d_cache_hit_pct
rv32ui-p-add,2934,0,84,76,89.16,0.00
rv32ui-p-addi,2759,0,84,76,89.16,0.00
rv32ui-p-and,3003,0,84,76,89.16,0.00
rv32ui-p-andi,2758,0,84,76,89.16,0.00
rv32ui-p-auipc,2919,0,84,76,89.16,0.00
rv32ui-p-beq,2838,0,84,76,89.16,0.00
rv32ui-p-bge,3021,0,84,76,89.16,0.00
rv32ui-p-bgeu,3026,0,84,76,89.16,0.00
rv32ui-p-blt,3056,0,84,76,89.16,0.00
rv32ui-p-bltu,2982,0,84,76,89.16,0.00
rv32ui-p-bne,2992,0,84,76,89.16,0.00
rv32ui-p-fence_i,3081,0,84,76,89.16,0.00
