test,ms,rc,cycles,instrs,i_cache_hit_pct,d_cache_hit_pct
rv32ui-p-auipc,3762,0,140,97,89.47,0.00
rv32ui-p-add,4069,0,596,504,94.38,0.00
rv32ui-p-beq,3249,0,415,330,94.34,0.00
rv32ui-p-addi,3087,0,346,281,93.05,0.00
rv32ui-p-bge,3577,0,446,348,94.22,0.00
rv32ui-p-and,3406,0,614,524,94.77,0.00
rv32ui-p-bgeu,3350,0,473,373,94.33,0.00
rv32ui-p-andi,3027,0,294,237,93.41,0.00
rv32ui-p-blt,3570,0,415,330,94.34,0.00
rv32ui-p-bltu,3119,0,442,355,94.44,0.00
rv32ui-p-bne,3630,0,419,330,94.10,0.00
rv32ui-p-fence_i,3045,0,497,335,96.03,33.33
rv32ui-p-jal,3365,0,137,94,89.19,0.00
rv32ui-p-jalr,3256,0,211,154,92.27,0.00
rv32ui-p-lb,3005,0,361,295,93.61,95.83
rv32ui-p-lbu,3348,0,361,295,93.61,95.83
rv32ui-p-ld_st,3117,0,1304,1151,93.31,99.74
rv32ui-p-lh,3169,0,448,311,93.62,0.00
rv32ui-p-lhu,3460,0,457,320,93.79,0.00
rv32ui-p-lui,3195,0,145,104,89.92,0.00
rv32ui-p-lw,3020,0,395,325,93.59,95.83
rv32ui-p-ma_data,3399,0,611,473,92.63,0.00
rv32ui-p-or,2990,0,619,527,94.61,0.00
rv32ui-p-ori,2945,0,303,244,93.21,0.00
rv32ui-p-sb,3674,0,586,493,94.70,98.55
rv32ui-p-sh,2967,0,643,546,94.84,98.55
rv32ui-p-simple,3083,0,116,80,89.36,0.00
rv32ui-p-sll,2938,0,628,532,94.31,0.00
rv32ui-p-slli,3049,0,345,280,93.02,0.00
rv32ui-p-slt,3079,0,590,498,94.32,0.00
rv32ui-p-slti,3162,0,339,276,93.27,0.00
rv32ui-p-sltiu,3012,0,339,276,93.27,0.00
rv32ui-p-sltu,2991,0,590,498,94.32,0.00
rv32ui-p-sra,2912,0,649,551,94.32,0.00
rv32ui-p-srai,3495,0,360,295,93.35,0.00
rv32ui-p-srl,3408,0,643,545,94.26,0.00
rv32ui-p-srli,3302,0,354,289,93.23,0.00
rv32ui-p-st_ld,4056,0,615,522,92.92,98.98
rv32ui-p-sub,2887,0,586,496,94.49,0.00
rv32ui-p-sw,3002,0,652,553,94.73,98.53
rv32ui-p-xor,2957,0,616,526,94.78,0.00
rv32ui-p-xori,2969,0,305,246,93.26,0.00
