test,ms,rc,cycles,instrs,i_cache_hit_pct,d_cache_hit_pct
rv32ui-p-add,2894,0,5876,504,0.00,0.00
rv32ui-p-addi,2856,0,3324,281,0.00,0.00
rv32ui-p-and,2783,0,6096,524,0.00,0.00
rv32ui-p-andi,2891,0,2840,237,0.00,0.00
rv32ui-p-auipc,2838,0,1256,97,0.00,0.00
rv32ui-p-beq,2881,0,4083,330,0.00,0.00
rv32ui-p-bge,2901,0,4380,348,0.00,0.00
rv32ui-p-bgeu,2816,0,4655,373,0.00,0.00
rv32ui-p-blt,2811,0,4083,330,0.00,0.00
rv32ui-p-bltu,2873,0,4358,355,0.00,0.00
rv32ui-p-bne,2804,0,4105,330,0.00,0.00
rv32ui-p-fence_i,2869,0,5045,335,0.00,0.00
rv32ui-p-jal,2803,0,1223,94,0.00,0.00
rv32ui-p-jalr,2878,0,1993,154,0.00,0.00
rv32ui-p-lb,2791,0,3688,295,0.00,0.00
rv32ui-p-lbu,2846,0,3688,295,0.00,0.00
rv32ui-p-ld_st,2772,0,15198,1151,0.00,0.00
rv32ui-p-lh,2871,0,3864,311,0.00,0.00
rv32ui-p-lhu,2907,0,3963,320,0.00,0.00
rv32ui-p-lui,2900,0,1311,104,0.00,0.00
rv32ui-p-lw,2754,0,4018,325,0.00,0.00
rv32ui-p-ma_data,2869,0,5760,473,0.00,0.00
rv32ui-p-or,2802,0,6129,527,0.00,0.00
rv32ui-p-ori,2844,0,2917,244,0.00,0.00
rv32ui-p-sb,2787,0,6500,493,0.00,0.00
rv32ui-p-sh,2862,0,7083,546,0.00,0.00
rv32ui-p-simple,2788,0,1036,80,0.00,0.00
rv32ui-p-sll,2897,0,6184,532,0.00,0.00
rv32ui-p-slli,2860,0,3313,280,0.00,0.00
rv32ui-p-slt,2879,0,5810,498,0.00,0.00
rv32ui-p-slti,2751,0,3269,276,0.00,0.00
rv32ui-p-sltiu,2831,0,3269,276,0.00,0.00
rv32ui-p-sltu,2796,0,5810,498,0.00,0.00
rv32ui-p-sra,3065,0,6393,551,0.00,0.00
rv32ui-p-srai,2856,0,3478,295,0.00,0.00
rv32ui-p-srl,2972,0,6327,545,0.00,0.00
rv32ui-p-srli,2881,0,3412,289,0.00,0.00
rv32ui-p-st_ld,2933,0,6889,522,0.00,0.00
rv32ui-p-sub,2954,0,5788,496,0.00,0.00
rv32ui-p-sw,3047,0,7150,553,0.00,0.00
rv32ui-p-xor,2858,0,6118,526,0.00,0.00
rv32ui-p-xori,2950,0,2939,246,0.00,0.00
